timestamp, gpu_name, gpu_bus_id, gpu_serial, gpu_uuid, pid, process_name, used_gpu_memory [MiB]
2017/07/20 16:48:39.898, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:40.900, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:41.901, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:42.901, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:43.902, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:44.902, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:45.902, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:46.903, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:47.903, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:48.904, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:49.904, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:50.904, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:51.905, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:52.905, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:53.906, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:54.906, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:55.906, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:56.907, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:57.907, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, ./stress, 65
2017/07/20 16:48:58.907, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101815, [Unknown Error], 65
2017/07/20 16:48:59.909, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:00.909, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:01.910, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:02.910, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:03.911, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:04.911, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:05.911, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:06.912, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:07.912, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:08.912, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:09.913, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:10.913, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:11.914, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:12.914, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:13.914, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:14.915, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:15.915, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:16.916, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:17.916, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101827, ./stress, 65
2017/07/20 16:49:19.920, Tesla K20Xm, 0000:02:00.0, 0321513034876, GPU-5aeb992d-9956-eecc-36aa-5db7f45438c6, 101838, ./stress, 65
